Type,SpecifiedButton,Pressed,TimePressed
Absolute,JOYSTICK_RIGHT,DOWN_RIGHT,10:24:33.277787
Absolute,JOYSTICK_LEFT,DOWN,10:24:33.277787
Absolute,JOYSTICK_RIGHT,RIGHT,10:24:33.317850
Absolute,JOYSTICK_RIGHT,UP_RIGHT,10:24:33.503736
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:24:33.537804
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:24:33.737856
Absolute,JOYSTICK_LEFT,LEFT,10:24:33.773745
Absolute,TRIGGER_RIGHT,PUSHED,10:24:33.857713
Key,BTN_SOUTH,1,10:24:34.049722
Key,BTN_SOUTH,0,10:24:34.173807
Absolute,JOYSTICK_RIGHT,LEFT,10:24:34.357799
Absolute,JOYSTICK_LEFT,UP_LEFT,10:24:34.421807
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:24:34.469807
Absolute,TRIGGER_LEFT,PUSHED,10:24:34.489840
Absolute,JOYSTICK_LEFT,UP,10:24:34.773799
Absolute,TRIGGER_LEFT,NEUTRAL,10:24:35.113803
Absolute,TRIGGER_LEFT,PUSHED,10:24:35.385807
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:24:35.417830
Absolute,JOYSTICK_LEFT,RIGHT,10:24:35.481799
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:24:35.664991
Absolute,JOYSTICK_LEFT,DOWN,10:24:35.825791
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:24:36.149809
Absolute,JOYSTICK_LEFT,LEFT,10:24:36.245806
Absolute,JOYSTICK_RIGHT,LEFT,10:24:36.321811
Absolute,JOYSTICK_LEFT,UP_LEFT,10:24:36.337816
Absolute,JOYSTICK_LEFT,UP,10:24:36.353812
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:24:36.418785
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:24:36.549768
Absolute,JOYSTICK_LEFT,RIGHT,10:24:36.717819
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:24:36.938159
Absolute,JOYSTICK_LEFT,DOWN,10:24:37.037820
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:24:37.157458
Absolute,JOYSTICK_LEFT,LEFT,10:24:37.201813
Absolute,JOYSTICK_LEFT,UP_LEFT,10:24:37.517691
Absolute,JOYSTICK_LEFT,UP,10:24:37.565840
Absolute,JOYSTICK_RIGHT,DOWN,10:24:37.585631
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:24:37.697820
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:24:37.701813
Absolute,JOYSTICK_LEFT,RIGHT,10:24:37.757840
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:24:38.533814
