Type,SpecifiedButton,Pressed,TimePressed
Absolute,DPAD_DOWN,1,10:43:43.048616
Absolute,DPAD_DOWN,0,10:43:43.171561
Absolute,DPAD_DOWN,1,10:43:43.532809
Absolute,DPAD_DOWN,0,10:43:43.675525
Absolute,DPAD_RIGHT,1,10:43:46.579347
Absolute,DPAD_RIGHT,0,10:43:46.703594
Absolute,DPAD_RIGHT,1,10:43:47.327622
Absolute,DPAD_RIGHT,0,10:43:47.463434
Absolute,JOYSTICK_RIGHT,DOWN,10:43:54.123517
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:43:54.435436
Absolute,JOYSTICK_RIGHT,UP,10:43:54.515505
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:43:54.663543
Key,BTN_TL,1,10:44:12.539640
Key,BTN_TL,0,10:44:12.647590
Absolute,JOYSTICK_RIGHT,UP_RIGHT,10:44:16.551637
Absolute,JOYSTICK_RIGHT,UP,10:44:16.639370
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:44:16.683354
Absolute,JOYSTICK_LEFT,LEFT,10:44:20.268551
Absolute,JOYSTICK_LEFT,UP_LEFT,10:44:20.959582
Key,BTN_EAST,1,10:44:21.051571
Key,BTN_EAST,0,10:44:21.167613
Absolute,JOYSTICK_LEFT,LEFT,10:44:21.211541
Absolute,JOYSTICK_LEFT,NEUTRAL,10:44:21.691548
Key,BTN_SOUTH,1,10:44:25.791651
Key,BTN_SOUTH,0,10:44:25.879610
Key,BTN_SOUTH,1,10:44:25.956522
Key,BTN_SOUTH,0,10:44:26.031609
Key,BTN_SOUTH,1,10:44:26.120688
Key,BTN_SOUTH,0,10:44:26.175627
Absolute,JOYSTICK_LEFT,RIGHT,10:44:29.359618
Key,BTN_TL,1,10:44:29.363618
Key,BTN_TL,0,10:44:29.499630
Absolute,JOYSTICK_LEFT,NEUTRAL,10:44:29.983624
Absolute,JOYSTICK_LEFT,LEFT,10:44:30.239590
Absolute,JOYSTICK_LEFT,NEUTRAL,10:44:30.911496
Key,BTN_TR,1,10:44:30.927679
Key,BTN_EAST,1,10:44:30.931617
Key,BTN_EAST,0,10:44:31.103598
Key,BTN_TR,0,10:44:31.131441
Absolute,JOYSTICK_LEFT,DOWN,10:44:34.519558
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:44:35.767494
Key,BTN_WEST,1,10:44:35.959559
Absolute,JOYSTICK_LEFT,NEUTRAL,10:44:36.119476
Key,BTN_WEST,0,10:44:36.127624
Key,BTN_EAST,1,10:44:40.095687
Key,BTN_EAST,0,10:44:40.271689
Absolute,TRIGGER_LEFT,PUSHED,10:44:50.823664
Absolute,TRIGGER_LEFT,NEUTRAL,10:44:50.971628
Absolute,TRIGGER_LEFT,PUSHED,10:44:51.059665
Absolute,TRIGGER_LEFT,NEUTRAL,10:44:51.223632
Absolute,TRIGGER_LEFT,PUSHED,10:44:51.311478
Absolute,TRIGGER_LEFT,NEUTRAL,10:44:51.459663
Absolute,TRIGGER_LEFT,PUSHED,10:44:51.531634
Absolute,TRIGGER_LEFT,NEUTRAL,10:44:51.667660
Absolute,TRIGGER_LEFT,PUSHED,10:44:51.751632
Absolute,TRIGGER_LEFT,NEUTRAL,10:44:51.871648
Absolute,TRIGGER_LEFT,PUSHED,10:44:51.967647
Absolute,TRIGGER_LEFT,NEUTRAL,10:44:52.086815
Absolute,TRIGGER_LEFT,PUSHED,10:44:52.191450
Absolute,TRIGGER_LEFT,NEUTRAL,10:44:52.319698
Absolute,TRIGGER_LEFT,PUSHED,10:44:52.407676
Absolute,TRIGGER_LEFT,NEUTRAL,10:44:52.523646
Absolute,TRIGGER_LEFT,PUSHED,10:44:52.627656
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:44:53.183666
Absolute,TRIGGER_LEFT,NEUTRAL,10:44:53.263354
Absolute,JOYSTICK_LEFT,NEUTRAL,10:44:53.463450
Absolute,TRIGGER_LEFT,PUSHED,10:44:53.511144
Absolute,TRIGGER_LEFT,NEUTRAL,10:44:53.655616
Absolute,TRIGGER_LEFT,PUSHED,10:44:53.743634
Absolute,TRIGGER_LEFT,NEUTRAL,10:44:53.883459
Absolute,TRIGGER_LEFT,PUSHED,10:44:54.003021
Absolute,TRIGGER_LEFT,NEUTRAL,10:44:54.139609
Absolute,TRIGGER_LEFT,PUSHED,10:44:54.335615
Absolute,TRIGGER_LEFT,NEUTRAL,10:44:54.467595
Absolute,TRIGGER_LEFT,PUSHED,10:44:54.531438
Absolute,TRIGGER_LEFT,NEUTRAL,10:44:55.111671
Absolute,TRIGGER_LEFT,PUSHED,10:44:55.207670
Absolute,TRIGGER_LEFT,NEUTRAL,10:44:55.339609
Absolute,TRIGGER_LEFT,PUSHED,10:44:55.411643
Absolute,TRIGGER_LEFT,NEUTRAL,10:44:55.643623
Absolute,TRIGGER_LEFT,PUSHED,10:44:58.071647
Absolute,TRIGGER_LEFT,NEUTRAL,10:44:58.267620
Absolute,TRIGGER_LEFT,PUSHED,10:44:58.335627
Absolute,TRIGGER_LEFT,NEUTRAL,10:44:58.771677
Absolute,TRIGGER_LEFT,PUSHED,10:44:58.843627
Absolute,TRIGGER_LEFT,NEUTRAL,10:44:58.999630
Absolute,TRIGGER_LEFT,PUSHED,10:44:59.091676
Absolute,TRIGGER_LEFT,NEUTRAL,10:44:59.243448
Absolute,TRIGGER_LEFT,PUSHED,10:44:59.367543
Absolute,TRIGGER_LEFT,NEUTRAL,10:44:59.495550
Absolute,TRIGGER_LEFT,PUSHED,10:44:59.587619
Absolute,TRIGGER_LEFT,NEUTRAL,10:44:59.719676
Absolute,TRIGGER_LEFT,PUSHED,10:44:59.795453
Absolute,TRIGGER_LEFT,NEUTRAL,10:44:59.931425
Absolute,TRIGGER_LEFT,PUSHED,10:45:00.003565
Absolute,TRIGGER_LEFT,NEUTRAL,10:45:00.127451
Absolute,TRIGGER_LEFT,PUSHED,10:45:00.879658
Absolute,TRIGGER_LEFT,NEUTRAL,10:45:03.567655
Absolute,JOYSTICK_LEFT,DOWN,10:45:12.479456
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:45:13.075446
Absolute,TRIGGER_LEFT,PUSHED,10:45:13.787655
Absolute,JOYSTICK_LEFT,NEUTRAL,10:45:13.935615
Absolute,TRIGGER_LEFT,NEUTRAL,10:45:14.547647
Absolute,JOYSTICK_LEFT,DOWN,10:45:14.579652
Absolute,TRIGGER_LEFT,PUSHED,10:45:14.715633
Absolute,TRIGGER_LEFT,NEUTRAL,10:45:14.839643
Absolute,TRIGGER_LEFT,PUSHED,10:45:14.899636
Absolute,TRIGGER_LEFT,NEUTRAL,10:45:15.055623
Absolute,JOYSTICK_LEFT,NEUTRAL,10:45:15.383625
Key,BTN_SOUTH,1,10:45:16.535697
Key,BTN_SOUTH,0,10:45:16.659639
Key,BTN_SOUTH,1,10:45:18.223782
Key,BTN_SOUTH,0,10:45:18.383689
Key,BTN_SOUTH,1,10:45:18.856748
Key,BTN_SOUTH,0,10:45:18.991565
Key,BTN_SOUTH,1,10:45:19.691736
Key,BTN_SOUTH,0,10:45:19.811666
Key,BTN_SOUTH,1,10:45:20.000768
Key,BTN_SOUTH,0,10:45:20.095204
Key,BTN_SOUTH,1,10:45:20.239649
Key,BTN_SOUTH,0,10:45:20.335658
Key,BTN_SOUTH,1,10:45:20.695481
Key,BTN_SOUTH,0,10:45:20.791431
Key,BTN_EAST,1,10:45:23.239752
Key,BTN_EAST,0,10:45:23.407686
Key,BTN_EAST,1,10:45:24.071757
Key,BTN_EAST,0,10:45:24.207541
Key,BTN_SOUTH,1,10:45:24.652626
Key,BTN_SOUTH,0,10:45:24.795687
Absolute,JOYSTICK_LEFT,RIGHT,10:45:24.871649
Absolute,JOYSTICK_LEFT,NEUTRAL,10:45:24.975657
Absolute,JOYSTICK_LEFT,RIGHT,10:45:25.051717
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:45:25.123609
Absolute,JOYSTICK_LEFT,NEUTRAL,10:45:25.155763
Absolute,JOYSTICK_LEFT,DOWN,10:45:25.295675
Absolute,JOYSTICK_LEFT,NEUTRAL,10:45:25.403703
Absolute,JOYSTICK_LEFT,UP,10:45:25.599471
Absolute,JOYSTICK_LEFT,NEUTRAL,10:45:25.695697
Key,BTN_SOUTH,1,10:45:25.745799
Key,BTN_SOUTH,0,10:45:25.879693
Absolute,JOYSTICK_LEFT,DOWN,10:45:26.107610
Absolute,JOYSTICK_LEFT,NEUTRAL,10:45:26.183720
Absolute,JOYSTICK_LEFT,DOWN,10:45:26.427699
Absolute,JOYSTICK_LEFT,NEUTRAL,10:45:26.507642
Absolute,JOYSTICK_LEFT,RIGHT,10:45:26.859675
Absolute,JOYSTICK_LEFT,NEUTRAL,10:45:26.991723
Key,BTN_SOUTH,1,10:45:27.027818
Key,BTN_SOUTH,0,10:45:27.175671
Key,BTN_EAST,1,10:45:27.960808
Key,BTN_EAST,0,10:45:28.143519
Key,BTN_EAST,1,10:45:28.615622
Key,BTN_EAST,0,10:45:28.751460
Key,BTN_EAST,1,10:45:29.223534
Key,BTN_EAST,0,10:45:29.375721
Key,BTN_EAST,1,10:45:29.575785
Key,BTN_EAST,0,10:45:29.707585
Key,BTN_EAST,1,10:45:29.795564
Key,BTN_EAST,0,10:45:29.911697
Key,BTN_EAST,1,10:45:30.259744
Key,BTN_EAST,0,10:45:30.371694
Key,BTN_EAST,1,10:45:30.476799
Key,BTN_EAST,0,10:45:30.599709
Key,BTN_EAST,1,10:45:30.679743
Key,BTN_EAST,0,10:45:30.807471
Key,BTN_EAST,1,10:45:30.881972
Key,BTN_EAST,0,10:45:31.003713
Key,BTN_EAST,1,10:45:31.064742
Key,BTN_EAST,0,10:45:31.195692
Key,BTN_EAST,1,10:45:31.287756
Key,BTN_EAST,0,10:45:31.363711
